iter	Passed	Remaining
0	196	58716
1	210	31344
2	227	22526
3	241	17846
4	252	14897
5	262	12881
6	273	11443
7	284	10366
8	293	9505
9	304	8840
10	314	8267
11	325	7809
12	335	7398
13	343	7015
14	352	6706
15	361	6410
16	371	6183
17	380	5958
18	389	5762
19	399	5587
20	409	5440
21	418	5291
22	428	5158
23	437	5026
24	446	4907
25	454	4793
26	463	4689
27	472	4586
28	482	4506
29	491	4424
30	500	4342
31	510	4272
32	518	4193
33	527	4127
34	536	4059
35	545	4001
36	554	3938
37	563	3884
38	572	3833
39	580	3775
40	590	3727
41	598	3674
42	607	3632
43	615	3581
44	624	3536
45	632	3493
46	641	3454
47	650	3414
48	659	3379
49	670	3350
50	680	3320
51	688	3282
52	697	3249
53	705	3213
54	715	3187
55	724	3157
56	733	3127
57	742	3097
58	750	3066
59	760	3041
60	768	3012
61	777	2986
62	786	2958
63	795	2933
64	803	2905
65	813	2885
66	823	2862
67	831	2836
68	840	2814
69	848	2788
70	857	2766
71	866	2743
72	875	2722
73	883	2697
74	891	2675
75	900	2653
76	909	2633
77	917	2612
78	927	2593
79	936	2574
80	944	2554
81	954	2536
82	962	2516
83	971	2497
84	979	2478
85	988	2460
86	997	2440
87	1006	2424
88	1014	2404
89	1023	2388
90	1032	2370
91	1041	2354
92	1049	2336
93	1058	2319
94	1067	2303
95	1075	2285
96	1084	2268
97	1092	2252
98	1101	2237
99	1110	2221
100	1119	2206
101	1127	2189
102	1136	2174
103	1144	2157
104	1153	2141
105	1161	2125
106	1171	2112
107	1179	2096
108	1188	2082
109	1197	2067
110	1205	2053
111	1214	2039
112	1252	2072
113	1261	2058
114	1271	2045
115	1280	2031
116	1289	2016
117	1299	2004
118	1308	1989
119	1317	1975
120	1325	1960
121	1334	1947
122	1342	1932
123	1352	1919
124	1361	1906
125	1370	1892
126	1380	1879
127	1388	1865
128	1397	1852
129	1405	1838
130	1415	1825
131	1423	1811
132	1432	1799
133	1441	1785
134	1450	1773
135	1459	1760
136	1468	1746
137	1477	1733
138	1485	1720
139	1494	1707
140	1502	1694
141	1511	1681
142	1519	1668
143	1528	1655
144	1536	1642
145	1545	1629
146	1553	1616
147	1562	1604
148	1570	1591
149	1579	1579
150	1587	1566
151	1595	1553
152	1603	1540
153	1613	1529
154	1622	1517
155	1630	1505
156	1638	1492
157	1646	1480
158	1656	1468
159	1664	1456
160	1673	1445
161	1681	1432
162	1690	1421
163	1700	1410
164	1710	1399
165	1720	1388
166	1728	1376
167	1737	1365
168	1745	1353
169	1754	1341
170	1763	1330
171	1773	1319
172	1782	1308
173	1790	1296
174	1800	1286
175	1809	1274
176	1818	1263
177	1827	1252
178	1836	1241
179	1845	1230
180	1854	1219
181	1862	1207
182	1871	1196
183	1879	1184
184	1888	1173
185	1896	1162
186	1904	1151
187	1914	1140
188	1922	1128
189	1931	1118
190	1939	1106
191	1947	1095
192	1955	1084
193	1964	1073
194	1972	1062
195	1981	1051
196	1990	1040
197	1999	1030
198	2008	1019
199	2018	1009
200	2028	998
201	2037	988
202	2046	977
203	2054	967
204	2064	956
205	2072	945
206	2082	935
207	2090	924
208	2099	914
209	2108	903
210	2117	893
211	2126	882
212	2135	872
213	2145	862
214	2153	851
215	2162	841
216	2170	830
217	2180	820
218	2188	809
219	2197	799
220	2207	788
221	2215	778
222	2223	767
223	2231	757
224	2240	746
225	2248	736
226	2257	725
227	2265	715
228	2274	705
229	2281	694
230	2290	684
231	2298	673
232	2307	663
233	2315	653
234	2323	642
235	2332	632
236	2340	622
237	2348	611
238	2357	601
239	2364	591
240	2373	581
241	2381	570
242	2390	560
243	2398	550
244	2407	540
245	2414	530
246	2423	519
247	2431	509
248	2439	499
249	2447	489
250	2456	479
251	2464	469
252	2473	459
253	2481	449
254	2489	439
255	2497	429
256	2507	419
257	2515	409
258	2524	399
259	2532	389
260	2540	379
261	2548	369
262	2556	359
263	2564	349
264	2572	339
265	2580	329
266	2588	319
267	2595	309
268	2604	300
269	2611	290
270	2619	280
271	2627	270
272	2635	260
273	2642	250
274	2651	241
275	2658	231
276	2667	221
277	2674	211
278	2683	201
279	2690	192
280	2699	182
281	2707	172
282	2715	163
283	2722	153
284	2731	143
285	2739	134
286	2747	124
287	2755	114
288	2764	105
289	2771	95
290	2781	86
291	2790	76
292	2799	66
293	2807	57
294	2816	47
295	2823	38
296	2832	28
297	2840	19
298	2848	9
299	2856	0
